Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,time,chip_antibody
SRR1521604,ChIP-Seq,51,356552067,PRJNA255778,SAMN02928739,223987174,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658220,GSM1440685,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440685,H3K4me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K4me3 (Abcam ab8580)
SRR1521605,ChIP-Seq,51,343904118,PRJNA255778,SAMN02928740,217601853,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658221,GSM1440686,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440686,H3K4me3 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521606,ChIP-Seq,51,255795447,PRJNA255778,SAMN02928741,143767533,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658222,GSM1440687,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440687,H3K4me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K4me3 (Abcam ab8580)
SRR1521607,ChIP-Seq,51,202629477,PRJNA255778,SAMN02928742,111800178,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658223,GSM1440688,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440688,H3K4me3 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521626,ChIP-Seq,51,209713275,PRJNA255778,SAMN02928761,112464118,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658242,GSM1440707,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440707,H3K27ac ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K27ac (Abcam ab4729)
SRR1521627,ChIP-Seq,51,275103078,PRJNA255778,SAMN02928762,154637424,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658243,GSM1440708,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440708,H3K27ac Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521628,ChIP-Seq,51,323114529,PRJNA255778,SAMN02928763,191171490,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658244,GSM1440709,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440709,H3K27ac ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K27ac (Abcam ab4729)
SRR1521629,ChIP-Seq,51,263906436,PRJNA255778,SAMN02928656,159637184,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658245,GSM1440710,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:33:00Z,1,GSM1440710,H3K9me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K9me3 (Abcam ab8898)
SRR1521630,ChIP-Seq,51,193682802,PRJNA255778,SAMN02928657,109579867,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658246,GSM1440711,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:33:00Z,1,GSM1440711,H3K9me3 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521631,ChIP-Seq,51,129604005,PRJNA255778,SAMN02928658,70923633,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658247,GSM1440712,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440712,H3K27me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K27me3 (Abcam ab6002)
SRR1521632,ChIP-Seq,51,209067870,PRJNA255778,SAMN02928659,117980394,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658248,GSM1440713,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:16:00Z,1,GSM1440713,H3K27me3 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521633,ChIP-Seq,51,221332911,PRJNA255778,SAMN02928660,122679274,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658249,GSM1440714,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:15:00Z,1,GSM1440714,H3K36me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K36me3 (Abcam ab9050)
SRR1521634,ChIP-Seq,51,193373640,PRJNA255778,SAMN02928764,105537292,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658250,GSM1440715,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:33:00Z,1,GSM1440715,RNA Pol2 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,"RNAPII (clone 8WG16\, Covance MMS-126R)"
SRR1521635,ChIP-Seq,51,126270900,PRJNA255778,SAMN02928765,67686445,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658251,GSM1440716,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:32:00Z,1,GSM1440716,RNA Pol2 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
SRR1521636,ChIP-Seq,51,455011596,PRJNA255778,SAMN02928766,220790363,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658252,GSM1440717,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:20:00Z,1,GSM1440717,H3K4me3 ChIP-Seq (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,H3K4me2 (Abcam ab11946)
SRR1521637,ChIP-Seq,51,387476376,PRJNA255778,SAMN02928767,197813965,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX658253,GSM1440718,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Chlamydomonas reinhardtii,ILLUMINA,2015-07-28T00:00:00Z,2014-07-21T14:20:00Z,1,GSM1440718,H3K4me3 Input (0 hr before starvationr; baseline),SRP044681,4A+,0 hr,none
