run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	isolate	host	collection_date	geo_loc_name	isolation_source	biosamplemodel	strain	sample_type	experiment	dev_stage	growth_protocol	treatment	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR29707272	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209720	RNA-Seq of Chlamydomonas reinhardtii: seven days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: seven days post inoculation	3055	Chlamydomonas reinhardtii	7dpi_B	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897202	<NA>	SAMN42325421	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	67531982	6299928138	67531982	17426549101	7dpi_B_R1_001.fastq.gz	SRR29707272.lite	4665593047	2024-07-04 17:11:33	a99c6509bc7958b4cde214d052dd384b	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707272/SRR29707272.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707272/SRR29707272.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707272/SRR29707272.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707272/SRR29707272.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	seven days post inoculation, replica B	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/072/SRR29707272/SRR29707272_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/072/SRR29707272/SRR29707272_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/072/SRR29707272/SRR29707272_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/072/SRR29707272/SRR29707272_2.fastq.gz
SRR29707273	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209719	RNA-Seq of Chlamydomonas reinhardtii: seven days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: seven days post inoculation	3055	Chlamydomonas reinhardtii	7dpi_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897201	<NA>	SAMN42325420	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	76128002	7106336114	76128002	19280542683	7dpi_A_R1_001.fastq.gz	SRR29707273.lite	5176556884	2024-07-04 17:11:36	f91054069b98fd74d0b445f8bc0f6853	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707273/SRR29707273.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707273/SRR29707273.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707273/SRR29707273.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707273/SRR29707273.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	seven days post inoculation, replica A	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/073/SRR29707273/SRR29707273_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/073/SRR29707273/SRR29707273_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/073/SRR29707273/SRR29707273_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/073/SRR29707273/SRR29707273_2.fastq.gz
SRR29707274	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209718	RNA-Seq of Chlamydomonas reinhardtii: six days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: six days post inoculation	3055	Chlamydomonas reinhardtii	6dpi_B	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897200	<NA>	SAMN42325419	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	84837915	7957039023	84837915	21997236639	6dpi_B_R1_001.fastq.gz	SRR29707274.lite	5884819667	2024-07-04 17:13:07	298125f06da2d45a335bd6f298f7c025	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707274/SRR29707274.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707274/SRR29707274.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707274/SRR29707274.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707274/SRR29707274.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	six days post inoculation, replica B	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/074/SRR29707274/SRR29707274_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/074/SRR29707274/SRR29707274_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/074/SRR29707274/SRR29707274_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/074/SRR29707274/SRR29707274_2.fastq.gz
SRR29707275	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209717	RNA-Seq of Chlamydomonas reinhardtii: six days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: six days post inoculation	3055	Chlamydomonas reinhardtii	6dpi_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897199	<NA>	SAMN42325418	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	62514125	5736832198	62514125	15841670957	6dpi_A_R1_001.fastq.gz	6dpi_A_R1_001.fastq.gz	3710285053	2024-07-04 16:40:28	9f09358093f6b54a9e82c7193ca65cce	1	fastq	Original	0	s3://sra-pub-src-14/SRR29707275/6dpi_A_R1_001.fastq.gz.1	-	Use Cloud Data Delivery	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29707275/SRR29707275	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707275/SRR29707275.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707275/SRR29707275.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	six days post inoculation, replica A	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/075/SRR29707275/SRR29707275_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/075/SRR29707275/SRR29707275_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/075/SRR29707275/SRR29707275_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/075/SRR29707275/SRR29707275_2.fastq.gz
SRR29707276	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209716	RNA-Seq of Chlamydomonas reinhardtii: five days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: five days post inoculation	3055	Chlamydomonas reinhardtii	5dpi_B	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897198	<NA>	SAMN42325417	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	65295332	5924624145	65295332	16150820613	5dpi_B_R1_001.fastq.gz	SRR29707276.lite	4347091240	2024-07-04 17:13:51	272ff5c9325905e0654300f7080c7064	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707276/SRR29707276.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707276/SRR29707276.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707276/SRR29707276.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707276/SRR29707276.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	five days post inoculation, replica B	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/076/SRR29707276/SRR29707276_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/076/SRR29707276/SRR29707276_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/076/SRR29707276/SRR29707276_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/076/SRR29707276/SRR29707276_2.fastq.gz
SRR29707277	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209715	RNA-Seq of Chlamydomonas reinhardtii: five days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: five days post inoculation	3055	Chlamydomonas reinhardtii	5dpi_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897197	<NA>	SAMN42325416	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	52558042	4642527202	52558042	12806451348	5dpi_A_R1_001.fastq.gz	SRR29707277.lite	3459866718	2024-07-04 17:11:35	00f8250083e535d74e645900f5ca77ee	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707277/SRR29707277.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707277/SRR29707277.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707277/SRR29707277.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707277/SRR29707277.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	five days post inoculation, replica A	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/077/SRR29707277/SRR29707277_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/077/SRR29707277/SRR29707277_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/077/SRR29707277/SRR29707277_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/077/SRR29707277/SRR29707277_2.fastq.gz
SRR29707278	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209714	RNA-Seq of Chlamydomonas reinhardtii: four days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: four days post inoculation	3055	Chlamydomonas reinhardtii	4dpi_B	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897196	<NA>	SAMN42325415	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	54165955	5203392166	54165955	14350248465	4dpi_B_R1_001.fastq.gz	SRR29707278.lite	3832961752	2024-07-04 17:12:54	868f486d16048492a12da369a09c6e56	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707278/SRR29707278.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707278/SRR29707278.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707278/SRR29707278.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707278/SRR29707278.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	four days post inoculation, replica B	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29707278/SRR29707278_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/078/SRR29707278/SRR29707278_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/078/SRR29707278/SRR29707278_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/078/SRR29707278/SRR29707278_2.fastq.gz
SRR29707279	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209713	RNA-Seq of Chlamydomonas reinhardtii: four days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: four days post inoculation	3055	Chlamydomonas reinhardtii	4dpi_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897195	<NA>	SAMN42325414	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	53714599	5091261355	53714599	14040882702	4dpi_A_R1_001.fastq.gz	4dpi_A_R1_001.fastq.gz	3276657886	2024-07-04 16:45:38	2d84157b53ea64fc1c83c181ac863d31	1	fastq	Original	0	s3://sra-pub-src-14/SRR29707279/4dpi_A_R1_001.fastq.gz.1	-	Use Cloud Data Delivery	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29707279/SRR29707279	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707279/SRR29707279.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707279/SRR29707279.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	four days post inoculation, replica A	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/079/SRR29707279/SRR29707279_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/079/SRR29707279/SRR29707279_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/079/SRR29707279/SRR29707279_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/079/SRR29707279/SRR29707279_2.fastq.gz
SRR29707280	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209712	RNA-Seq of Chlamydomonas reinhardtii: three days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: three days post inoculation	3055	Chlamydomonas reinhardtii	3dpi_B	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897194	<NA>	SAMN42325413	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	88684053	8488349190	88684053	22962753977	3dpi_B_R1_001.fastq.gz	SRR29707280.lite	6130395753	2024-07-04 17:11:39	f15c255664be0d12c67bda756658e894	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707280/SRR29707280.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707280/SRR29707280.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707280/SRR29707280.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707280/SRR29707280.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	three days post inoculation, replica B	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/080/SRR29707280/SRR29707280_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/080/SRR29707280/SRR29707280_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/080/SRR29707280/SRR29707280_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/080/SRR29707280/SRR29707280_2.fastq.gz
SRR29707281	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25209711	RNA-Seq of Chlamydomonas reinhardtii: three days post inoculation	RNA-Seq of Chlamydomonas reinhardtii: three days post inoculation	3055	Chlamydomonas reinhardtii	3dpi_A	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS21897193	<NA>	SAMN42325412	PRJNA1131777	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	58043197	5514766780	58043197	15191121654	3dpi_A_R1_001.fastq.gz	SRR29707281.lite	4065162848	2024-07-04 18:24:39	ab0489d800a270cc02d4f2077874fa65	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR29707281/SRR29707281.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707281/SRR29707281.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR029/29707/SRR29707281/SRR29707281.lite.1	worldwide	anonymous	gs://sra-pub-zq-101/SRR29707281/SRR29707281.lite.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-04-06	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	three days post inoculation, replica A	<NA>	<NA>	<NA>	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29707281/SRR29707281_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/081/SRR29707281/SRR29707281_2.fastq.gz	<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/081/SRR29707281/SRR29707281_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/081/SRR29707281/SRR29707281_2.fastq.gz
SRR29752023	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25252989	Long Read sequencing HMW DNA Creinhardtii CC-2937 run 3	Long Read sequencing HMW DNA Creinhardtii CC-2937 run 3	3055	Chlamydomonas reinhardtii	CC2937_ONT_3	WGS	GENOMIC	other	SINGLE	SRS21938380	<NA>	SAMN42320809	PRJNA1131777	PromethION	PromethION	OXFORD_NANOPORE	13484426	20439709839	13484426	21769148497	CC2937_ONT_3.fq	CC2937_ONT_3.fq	48749997260	2024-07-09 12:48:42	8e4dcbb0efb5d1a571402ebab70a3764	1	fastq	Original	0	s3://sra-pub-src-9/SRR29752023/CC2937_ONT_3.fq.1	-	Use Cloud Data Delivery	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR029/29752/SRR29752023/SRR29752023.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR029/29752/SRR29752023/SRR29752023.1	worldwide	anonymous	gs://sra-pub-run-101/SRR29752023/SRR29752023.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-10-01	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	<NA>	Stationary	PhytoTec Labs TAP media	None	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/023/SRR29752023/SRR29752023_1.fastq.gz		<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/023/SRR29752023/SRR29752023_1.fastq.gz	
SRR29752024	SRP518021	Chlamydomonas reinhardtii CC-2937 genome sequencing and assembly	SRX25252988	Long Read sequencing HMW DNA Creinhardtii CC-2937 run 2	Long Read sequencing HMW DNA Creinhardtii CC-2937 run 2	3055	Chlamydomonas reinhardtii	CC2937_ONT_2	WGS	GENOMIC	other	SINGLE	SRS21938379	<NA>	SAMN42320808	PRJNA1131777	PromethION	PromethION	OXFORD_NANOPORE	184000	2703367096	184000	2945543898	CC2937_ONT_2.fq	SRR29752024	2703369329	2024-07-09 12:43:55	6506b11619f6430d5343278500144bfc	1	SRA Normalized	Primary ETL	1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR29752024/SRR29752024	worldwide	anonymous	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR029/29752/SRR29752024/SRR29752024.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-run-834/SRR029/29752/SRR29752024/SRR29752024.1	worldwide	anonymous	gs://sra-pub-run-101/SRR29752024/SRR29752024.1	gs.us-east1	gcp identity	<NA>	<NA>	<NA>	2023-06-01	not applicable	CRC collection	Microbe, viral or environmental	CC-2937	whole cells	<NA>	Stationary	PhytoTec Labs TAP media	None	<NA>	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/024/SRR29752024/SRR29752024_1.fastq.gz		<NA>	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR297/024/SRR29752024/SRR29752024_1.fastq.gz	
