#CHROM	POS	chlamy_7A_5mCG_5hmCG_sorted_remap_CC2937_T2T.bam	chlamy_8A_5mCG_5hmCG_sorted_remap_CC2937_T2T.bam	chlamy_15A_5mCG_5hmCG_sorted_remap_CC2937_T2T.bam	chlamy_18A_5mCG_5hmCG_sorted_remap_CC2937_T2T.bam
chromosome_15	1085563	48	34	28	45
chromosome_15	1085564	48	33	27	45
chromosome_15	1085565	48	34	28	45
chromosome_15	1085566	49	34	27	45
chromosome_15	1085567	49	34	27	45
chromosome_15	1085568	49	34	27	45
chromosome_15	1085569	49	34	27	45
chromosome_15	1085570	49	34	28	44
chromosome_15	1085571	49	33	28	44
chromosome_15	1085572	49	34	27	44
chromosome_15	1085573	49	34	27	45
chromosome_15	1085574	49	33	27	45
chromosome_15	1085575	49	33	28	45
chromosome_15	1085576	48	33	28	45
chromosome_15	1085577	48	33	26	41
chromosome_15	1085578	48	33	28	45
chromosome_15	1085579	49	34	28	45
chromosome_15	1085580	49	35	28	45
chromosome_15	1085581	49	35	29	45
chromosome_15	1085582	48	35	29	44
chromosome_15	1085583	49	35	29	45
chromosome_15	1085584	49	35	29	45
chromosome_15	1085585	49	35	29	45
chromosome_15	1085586	48	35	29	45
chromosome_15	1085587	49	35	29	44
chromosome_15	1085588	49	35	29	44
chromosome_15	1085589	49	35	29	44
chromosome_15	1085590	49	35	29	43
chromosome_15	1085591	49	35	29	43
chromosome_15	1085592	49	35	29	43
chromosome_15	1085593	49	35	29	43
chromosome_15	1085594	49	35	29	43
chromosome_15	1085595	50	35	29	43
chromosome_15	1085596	50	35	29	42
chromosome_15	1085597	50	33	29	42
chromosome_15	1085598	50	33	24	42
chromosome_15	1085599	50	34	29	43
chromosome_15	1085600	50	35	30	43
chromosome_15	1085601	50	35	30	41
chromosome_15	1085602	49	35	29	41
chromosome_15	1085603	49	35	29	41
chromosome_15	1085604	49	35	28	43
chromosome_15	1085605	50	35	29	43
chromosome_15	1085606	50	35	30	43
chromosome_15	1085607	50	35	30	43
chromosome_15	1085608	50	34	30	42
chromosome_15	1085609	50	33	30	41
chromosome_15	1085610	50	34	30	43
chromosome_15	1085611	50	34	30	43
chromosome_15	1085612	50	34	29	43
chromosome_15	1085613	50	34	29	43
chromosome_15	1085614	50	34	30	43
chromosome_15	1085615	50	34	30	43
chromosome_15	1085616	50	34	30	43
chromosome_15	1085617	51	34	30	43
chromosome_15	1085618	51	34	30	42
chromosome_15	1085619	51	33	30	43
chromosome_15	1085620	51	34	30	43
chromosome_15	1085621	51	34	30	43
chromosome_15	1085622	51	34	30	43
chromosome_15	1085623	51	35	30	43
chromosome_15	1085624	51	35	30	43
chromosome_15	1085625	50	34	29	41
chromosome_15	1085626	51	34	29	42
chromosome_15	1085627	51	35	30	42
chromosome_15	1085628	51	35	30	43
chromosome_15	1085629	51	35	29	43
chromosome_15	1085630	51	35	29	43
chromosome_15	1085631	51	35	30	43
chromosome_15	1085632	51	35	29	43
chromosome_15	1085633	51	35	29	43
chromosome_15	1085634	51	35	29	43
chromosome_15	1085635	51	36	30	43
chromosome_15	1085636	51	36	30	43
chromosome_15	1085637	51	36	30	43
chromosome_15	1085638	51	36	30	43
chromosome_15	1085639	51	36	30	43
chromosome_15	1085640	51	36	30	43
chromosome_15	1085641	51	36	30	42
chromosome_15	1085642	51	36	30	42
chromosome_15	1085643	50	36	30	42
chromosome_15	1085644	50	36	30	42
chromosome_15	1085645	50	36	30	43
chromosome_15	1085646	50	36	30	43
chromosome_15	1085647	50	35	29	43
chromosome_15	1085648	48	35	27	43
chromosome_15	1085649	48	36	29	43
chromosome_15	1085650	50	36	29	42
chromosome_15	1085651	50	34	29	42
chromosome_15	1085652	50	34	29	42
chromosome_15	1085653	49	34	29	41
chromosome_15	1085654	50	34	29	41
chromosome_15	1085655	51	34	28	41
chromosome_15	1085656	51	32	26	41
chromosome_15	1085657	51	34	27	42
chromosome_15	1085658	51	34	28	42
chromosome_15	1085659	51	34	27	42
chromosome_15	1085660	51	33	30	41
chromosome_15	1085661	51	33	29	41
chromosome_15	1085662	51	33	28	41
chromosome_15	1085663	50	33	29	41
chromosome_15	1085664	49	34	30	42
chromosome_15	1085665	49	34	30	42
chromosome_15	1085666	51	34	29	41
chromosome_15	1085667	51	34	30	42
chromosome_15	1085668	51	34	30	42
chromosome_15	1085669	51	34	30	42
chromosome_15	1085670	51	34	30	42
chromosome_15	1085671	51	34	30	42
chromosome_15	1085672	48	33	29	42
chromosome_15	1085673	51	34	30	42
chromosome_15	1085674	51	34	30	42
chromosome_15	1085675	51	34	29	42
chromosome_15	1085676	51	34	30	42
